_id,zipCode,buildingType,buildingSubtype,clientId,clientTypeId,dateOriginal,bathrooms,balcony,air_conditioner,heater,heating,swimming_pool,parking,conservationState,floor,terrace,elevator,rooms,surface,isHighlighted,isPackPremiumPriority,isNewConstruction,hasOpenHouse,isOpportunity,minPrice,otherFeaturesCount,price,periodicityId,history,lastAccess
1,28023,Flat,GroundFloorWithGarden,id-1,3,2022-02-24,2,,,,,,,1,3,1,1,2,91,False,True,False,False,False,0,15,1325,3,"[{'date': '2022-04-04', 'price': 1325}]",2022-04-11 07:48:19.078000
2,28023,Flat,Flat,id-1,3,2022-02-23,2,,,,,,,1,6,,1,2,90,False,True,False,False,False,0,15,1120,3,"[{'date': '2022-04-04', 'price': 1120}]",2022-04-11 07:48:19.139000
3,28052,Flat,GroundFloorWithGarden,id-2,3,2022-03-10,2,,,,,,,1,3,,1,3,109,False,True,False,False,False,0,18,1095,3,"[{'date': '2022-04-04', 'price': 1095}]",2022-04-11 07:49:27.115000
4,28050,Flat,Flat,id-2,3,2022-03-01,2,,,,,,,,6,,1,2,84,False,True,False,False,False,0,17,1045,3,"[{'date': '2022-04-04', 'price': 1045}]",2022-04-11 07:48:19.195000
5,28001,Flat,Flat,id-3,3,2022-02-24,3,1,1,1,,,,1,6,,1,3,237,False,True,False,False,False,0,19,6550,3,"[{'date': '2022-04-04', 'price': 6550}]",2022-04-11 07:48:19.251000
6,28052,Flat,Flat,id-2,3,2022-03-10,2,,,,,,,1,3,,1,2,95,False,True,False,False,False,0,16,920,3,"[{'date': '2022-04-04', 'price': 920}]",2022-04-11 08:17:27.794000
7,28027,Flat,Flat,id-4,3,2022-04-04,2,,1,,,,,,8,1,1,3,108,False,True,False,False,False,0,3,1320,3,"[{'date': '2022-04-04', 'price': 1320}]",2022-04-11 07:57:49.032000
8,28045,Flat,Flat,id-4,3,2022-04-04,2,,,,,,,,7,,1,2,92,False,True,False,False,False,0,3,1190,3,"[{'date': '2022-04-04', 'price': 1190}]",2022-04-07 00:49:10.655000
9,28045,Flat,Flat,id-5,3,2022-04-03,2,,,,,,,,6,,1,3,113,False,True,False,False,False,0,4,1380,3,"[{'date': '2022-04-04', 'price': 1380}]",2022-04-04 19:06:15.699000
10,28054,Flat,Flat,id-5,3,2022-04-03,1,,,,,,,,7,,1,2,66,False,True,False,False,False,0,4,870,3,"[{'date': '2022-04-04', 'price': 870}]",2022-04-11 07:57:10.320000
11,28004,Flat,Flat,id-6,3,2022-03-31,1,,1,,,,,3,,,,1,55,False,True,False,False,False,0,2,760,3,"[{'date': '2022-04-04', 'price': 760}]",2022-04-11 08:08:15.038000
12,28043,Flat,Flat,id-4,3,2022-03-31,2,,1,,,,,,6,,1,2,115,False,True,False,False,False,0,4,1280,3,"[{'date': '2022-04-04', 'price': 1280}]",2022-04-08 08:04:04.791000
13,28033,Flat,Flat,id-4,3,2022-03-31,2,,,,,,,,6,,1,2,107,False,True,False,False,False,0,4,1235,3,"[{'date': '2022-04-04', 'price': 1235}]",2022-04-11 08:03:52.792000
14,28043,Flat,Flat,id-4,3,2022-03-30,2,,1,,,,,,,,1,2,100,False,True,False,False,False,0,4,1245,3,"[{'date': '2022-04-04', 'price': 1290}, {'date': '2022-04-08', 'price': 1245}]",2022-04-11 07:56:43.608000
15,28036,Flat,Flat,id-7,3,2022-03-27,5,,1,1,,,,2,7,,1,5,270,False,True,False,False,False,0,19,4700,3,"[{'date': '2022-04-04', 'price': 4700}]",2022-04-11 07:48:33.769000
16,28050,Flat,Flat,id-8,3,2022-03-22,2,,1,1,,,,,7,,1,2,107,False,True,False,False,False,0,7,1450,3,"[{'date': '2022-04-04', 'price': 1450}]",2022-04-11 07:48:19.610000
17,28009,Flat,Flat,id-9,3,2022-03-14,1,,1,1,,,,3,7,,1,2,64,False,True,False,False,False,0,11,1200,3,"[{'date': '2022-04-04', 'price': 1300}, {'date': '2022-04-07', 'price': 1200}]",2022-04-11 07:48:19.667000
18,28005,Flat,Attic,id-7,3,2022-03-10,2,,1,1,,,,2,7,1,1,3,113,False,True,False,False,False,0,14,1850,3,"[{'date': '2022-04-04', 'price': 1850}]",2022-04-08 08:04:35.150000
19,28016,Flat,Flat,id-7,3,2022-03-01,2,,1,1,,,,1,7,,1,2,85,False,True,False,False,False,0,12,1390,3,"[{'date': '2022-04-04', 'price': 1390}]",2022-04-06 09:46:38.268000
20,28052,Flat,Flat,id-2,3,2022-02-24,2,,,,,,,1,3,,1,3,100,False,True,False,False,False,0,18,995,3,"[{'date': '2022-04-04', 'price': 995}]",2022-04-11 07:50:25.095000
21,28027,Flat,Flat,id-10,3,2022-02-28,2,,,,,,,,11,1,1,3,100,False,True,False,False,False,0,5,1300,3,"[{'date': '2022-04-04', 'price': 1300}]",2022-04-11 08:20:40.214000
22,28008,Flat,Flat,id-6,3,2022-03-26,2,,1,,,,,3,,,,4,120,False,True,False,False,False,0,2,2100,3,"[{'date': '2022-04-04', 'price': 2100}]",2022-04-11 08:11:31.445000
23,28010,Flat,Flat,id-11,3,2022-04-04,2,,1,1,,,,3,6,,1,2,132,False,True,False,False,False,0,6,2100,3,"[{'date': '2022-04-04', 'price': 2100}]",2022-04-04 15:13:14.955000
24,28033,Flat,SemiDetached,id-11,3,2022-04-04,2,,1,1,,,,2,,1,,2,160,False,True,False,False,False,0,7,2000,3,"[{'date': '2022-04-04', 'price': 2000}]",2022-04-11 07:48:20.378000
25,28001,Flat,Flat,id-11,3,2022-04-04,2,1,1,1,,,,2,9,,1,3,151,False,True,False,False,False,0,5,3300,3,"[{'date': '2022-04-04', 'price': 3300}]",2022-04-11 07:48:20.144000
26,28003,Flat,Flat,id-11,3,2022-04-04,2,,1,1,,,,3,10,,1,4,195,False,True,False,False,False,0,4,2600,3,"[{'date': '2022-04-04', 'price': 2600}]",2022-04-11 07:48:19.955000
27,28006,Flat,Flat,id-11,3,2022-04-04,4,,1,1,,,,3,6,,1,3,117,False,True,False,False,False,0,3,1990,3,"[{'date': '2022-04-04', 'price': 1990}]",2022-04-11 07:48:20.320000
28,28023,Flat,Flat,id-11,3,2022-04-04,5,,1,1,,,,3,6,,1,4,240,False,True,False,False,False,0,7,3300,3,"[{'date': '2022-04-04', 'price': 3300}]",2022-04-11 07:48:19.897000
29,28043,Flat,Flat,id-11,3,2022-04-04,1,,,1,,,,3,3,,1,1,81,False,True,False,False,False,0,11,1200,3,"[{'date': '2022-04-04', 'price': 1200}]",2022-04-11 07:48:20.013000
30,28006,Flat,Flat,id-11,3,2022-04-03,4,,1,,1,,,2,,1,1,4,234,False,True,False,False,False,0,8,6000,3,"[{'date': '2022-04-04', 'price': 6000}]",2022-04-11 07:48:20.202000
31,28033,Flat,Flat,id-11,3,2022-04-03,5,,1,,1,,,2,7,,1,5,160,False,True,False,False,False,0,11,3000,3,"[{'date': '2022-04-04', 'price': 3000}]",2022-04-11 07:48:20.262000
32,28045,Flat,Flat,id-12,3,2022-04-03,1,,1,1,,,,,7,1,1,3,76,False,True,False,False,False,0,6,850,3,"[{'date': '2022-04-04', 'price': 850}]",2022-04-11 07:55:14.446000
33,28003,Flat,Flat,id-12,3,2022-04-02,3,,1,1,,1,,,9,1,1,3,145,False,True,False,False,False,0,7,2800,3,"[{'date': '2022-04-04', 'price': 2800}]",2022-04-11 07:59:49.230000
34,28050,Flat,Flat,id-12,3,2022-04-01,2,,1,1,,1,,,6,,1,2,90,False,True,False,False,False,0,9,990,3,"[{'date': '2022-04-04', 'price': 990}]",2022-04-06 10:02:35.667000
35,28051,Flat,Flat,id-10,3,2022-03-31,2,,1,,,1,,2,6,,1,3,114,False,True,False,False,False,0,6,1180,3,"[{'date': '2022-04-04', 'price': 1180}]",2022-04-11 08:08:16.214000
36,28023,Flat,Flat,id-13,3,2022-03-31,2,,1,1,,,1,2,7,,1,2,121,False,True,False,False,False,0,18,1600,3,"[{'date': '2022-04-04', 'price': 1600}]",2022-04-11 07:48:33.254000
37,28039,Flat,Flat,id-14,3,2022-03-31,2,,1,1,,,1,,6,,,3,110,False,True,False,False,False,0,5,1300,3,"[{'date': '2022-04-04', 'price': 1300}]",2022-04-11 08:08:28.616000
38,28043,Flat,Flat,id-4,3,2022-03-31,2,,1,,,,,,6,,1,3,100,False,True,False,False,False,0,4,1525,3,"[{'date': '2022-04-04', 'price': 1525}]",2022-04-11 08:03:52.847000
39,28012,Flat,Flat,id-15,3,2022-03-30,2,,,1,,,,3,,,1,3,86,False,True,False,False,False,0,5,1400,3,"[{'date': '2022-04-04', 'price': 1400}]",2022-04-11 07:50:07.626000
40,28027,Flat,Flat,id-12,3,2022-03-30,1,,1,1,,,,,8,1,1,3,70,False,True,False,False,False,0,6,895,3,"[{'date': '2022-04-04', 'price': 895}]",2022-04-11 07:56:16.399000
41,28027,Flat,Duplex,id-13,3,2022-03-30,2,,1,1,,,1,,8,,1,4,217,False,True,False,False,False,0,18,1950,3,"[{'date': '2022-04-04', 'price': 1950}]",2022-04-07 11:19:41.971000
42,28012,Flat,Duplex,id-13,3,2022-03-30,2,,1,1,,,1,,3,,1,2,117,False,True,False,False,False,0,15,1380,3,"[{'date': '2022-04-04', 'price': 1380}]",2022-04-07 11:06:16.565000
43,28004,Flat,Flat,id-13,3,2022-03-29,2,,1,1,,,1,2,9,1,1,2,115,False,True,False,False,False,0,18,1950,3,"[{'date': '2022-04-04', 'price': 1950}]",2022-04-11 07:48:33.545000
44,28017,Flat,Study,id-14,3,2022-03-29,1,,1,1,,,,3,3,,1,,35,False,True,False,False,False,0,3,625,3,"[{'date': '2022-04-04', 'price': 625}]",2022-04-11 08:10:01.131000
45,28004,Flat,Apartment,id-16,3,2022-03-29,1,,1,1,,,,,7,,1,1,60,False,True,False,False,False,0,6,2000,3,"[{'date': '2022-04-04', 'price': 2000}]",2022-04-11 07:48:33.599000
46,28005,Flat,Flat,id-17,3,2022-03-28,2,,,,,,1,2,10,,1,3,116,False,True,False,False,False,0,3,1500,3,"[{'date': '2022-04-04', 'price': 1500}]",2022-04-11 07:48:33.655000
47,28009,Flat,Flat,id-10,3,2022-03-28,2,,,,,,,2,7,,1,2,60,False,True,False,False,False,0,5,1200,3,"[{'date': '2022-04-04', 'price': 1200}]",2022-04-11 08:10:51.605000
48,28046,Flat,Flat,id-18,3,2022-03-28,1,,1,1,,,,,21,,1,1,60,False,True,False,False,False,0,4,1175,3,"[{'date': '2022-04-04', 'price': 1250}, {'date': '2022-04-07', 'price': 1175}]",2022-04-11 07:48:33.713000
49,28002,Flat,Flat,id-10,3,2022-03-25,1,,1,,,,,2,6,,1,1,57,False,True,False,False,False,0,4,950,3,"[{'date': '2022-04-04', 'price': 950}]",2022-04-11 08:11:44.365000
50,28015,Flat,Flat,id-10,3,2022-03-24,1,,,,,,,2,8,,1,1,50,False,True,False,False,False,0,4,1000,3,"[{'date': '2022-04-04', 'price': 1000}]",2022-04-11 08:12:10.932000
51,28033,Flat,Flat,id-10,3,2022-03-24,1,1,1,,,,,2,7,1,1,2,115,False,True,False,False,False,0,5,1200,3,"[{'date': '2022-04-04', 'price': 1200}]",2022-04-05 05:51:41.358000
52,28001,Flat,Attic,id-13,3,2022-03-22,4,,1,1,,,1,2,12,1,1,3,230,False,True,False,False,False,0,15,4250,3,"[{'date': '2022-04-04', 'price': 4250}]",2022-04-11 08:13:22.052000
53,28001,Flat,Flat,id-19,3,2022-03-17,1,,1,,,,,,7,,1,2,55,False,True,False,False,False,0,10,1200,3,"[{'date': '2022-04-04', 'price': 1200}]",2022-04-11 08:15:24.330000
54,28015,Flat,Flat,id-13,3,2022-03-12,3,1,1,1,,,,,10,,1,4,145,False,True,False,False,False,0,16,2300,3,"[{'date': '2022-04-04', 'price': 2300}]",2022-04-11 07:53:24.429000
55,28023,Flat,Flat,id-18,3,2022-03-10,3,,1,1,,1,,1,,,1,4,165,False,True,False,False,False,0,11,2400,3,"[{'date': '2022-04-04', 'price': 2400}]",2022-04-11 07:48:44.128000
56,28052,Flat,Flat,id-2,3,2022-03-10,2,,,,,,,1,3,,1,2,77,False,True,False,False,False,0,18,799,3,"[{'date': '2022-04-04', 'price': 799}]",2022-04-11 07:50:24.047000
57,28013,Flat,Flat,id-18,3,2022-03-07,3,1,1,1,,,,1,7,,1,4,157,False,True,False,False,False,0,5,4000,3,"[{'date': '2022-04-04', 'price': 4000}]",2022-04-11 07:48:44.249000
58,28026,Flat,Flat,id-10,3,2022-03-07,1,,,,,,,2,7,,1,2,70,False,True,False,False,False,0,4,850,3,"[{'date': '2022-04-04', 'price': 850}]",2022-04-11 07:48:44.308000
59,28015,Flat,Flat,id-10,3,2022-03-02,2,,1,,,,,2,7,,1,2,100,False,True,False,False,False,0,4,1500,3,"[{'date': '2022-04-04', 'price': 1500}]",2022-04-11 08:19:31.912000
60,28047,Flat,Flat,id-20,3,2022-03-02,2,,1,,1,,,,6,,,2,98,False,True,False,False,False,0,5,800,3,"[{'date': '2022-04-04', 'price': 800}]",2022-04-11 07:48:44.541000
61,28015,Flat,Flat,id-13,3,2022-03-02,2,,1,,1,,1,2,6,,1,5,160,False,True,False,False,False,0,15,2750,3,"[{'date': '2022-04-04', 'price': 2750}]",2022-04-06 09:47:00.741000
62,28010,Flat,Flat,id-18,3,2022-03-02,2,,1,1,,1,,1,,,1,2,91,False,True,False,False,False,0,6,2200,3,"[{'date': '2022-04-04', 'price': 2200}]",2022-04-11 07:48:44.602000
63,28011,Flat,Flat,id-13,3,2022-03-02,2,,,1,,,1,2,7,1,1,3,153,False,True,False,False,False,0,15,2400,3,"[{'date': '2022-04-04', 'price': 2400}]",2022-04-11 07:48:44.734000
64,28004,Flat,Flat,id-18,3,2022-03-02,2,1,1,1,,,,3,7,,1,3,137,False,True,False,False,False,0,7,2000,3,"[{'date': '2022-04-04', 'price': 2000}]",2022-04-07 12:00:53.677000
65,28042,Flat,Flat,id-21,3,2022-03-01,2,,,1,,,1,,7,,1,3,126,False,True,False,False,False,0,17,1550,3,"[{'date': '2022-04-04', 'price': 1550}]",2022-04-11 08:20:14.531000
66,28050,Flat,Flat,id-10,3,2022-02-28,2,,,,,1,,,9,1,1,2,90,False,True,False,False,False,0,6,1200,3,"[{'date': '2022-04-04', 'price': 1200}]",2022-04-11 08:20:39.906000
67,28043,Flat,Flat,id-13,3,2022-02-28,4,,1,1,,,1,,8,1,1,4,255,False,True,False,False,False,0,19,2695,3,"[{'date': '2022-04-04', 'price': 2790}, {'date': '2022-04-07', 'price': 2695}]",2022-04-07 11:02:51.015000
68,28016,Flat,Flat,id-18,3,2022-02-28,1,,1,1,,,,1,,,1,1,85,False,True,False,False,False,0,7,1450,3,"[{'date': '2022-04-04', 'price': 1450}]",2022-04-11 07:48:44.851000
69,28043,Flat,Flat,id-10,3,2022-02-28,2,,1,,,,,2,14,,1,2,90,False,True,False,False,False,0,7,1150,3,"[{'date': '2022-04-04', 'price': 1150}]",2022-04-11 08:20:53.561000
70,28008,Flat,Flat,id-10,3,2022-02-28,1,,1,1,,,,1,11,1,,1,50,False,True,False,False,False,0,4,1400,3,"[{'date': '2022-04-04', 'price': 1400}]",2022-04-11 08:21:04.860000
71,28010,Flat,Flat,id-22,3,2022-02-28,2,1,,1,,,,,6,,1,3,122,False,True,False,False,False,0,6,1850,3,"[{'date': '2022-04-04', 'price': 1850}]",2022-04-11 07:48:44.908000
72,28003,Flat,Attic,id-13,3,2022-02-27,4,,1,1,,,,2,12,1,1,3,285,False,True,False,False,False,0,16,3450,3,"[{'date': '2022-04-04', 'price': 3450}]",2022-04-05 06:00:49.391000
73,28030,Flat,Flat,id-21,3,2022-02-26,1,,,1,,1,1,2,14,1,1,1,85,False,True,False,False,False,0,21,950,3,"[{'date': '2022-04-04', 'price': 950}]",2022-04-11 08:22:09.426000
74,28027,Flat,Flat,id-21,3,2022-02-26,3,,1,1,,1,1,2,7,,1,3,148,False,True,False,False,False,0,17,1650,3,"[{'date': '2022-04-04', 'price': 1700}, {'date': '2022-04-08', 'price': 1650}]",2022-04-11 07:48:20.552000
75,28001,Flat,Flat,id-23,3,2022-02-26,4,,1,1,,,,1,8,,1,4,285,False,True,False,False,False,0,7,5600,3,"[{'date': '2022-04-04', 'price': 5600}]",2022-04-11 07:48:45.086000
76,28027,Flat,Flat,id-21,3,2022-02-26,1,,1,1,,1,1,1,6,,1,1,77,False,True,False,False,False,0,20,1100,3,"[{'date': '2022-04-04', 'price': 1100}]",2022-04-11 07:48:45.144000
77,28009,Flat,Flat,id-10,3,2022-02-26,2,,1,,,,,2,11,1,1,3,100,False,True,False,False,False,0,3,1800,3,"[{'date': '2022-04-04', 'price': 1800}]",2022-04-11 08:22:23.682000
78,28034,Flat,SemidetachedHouse,id-13,3,2022-02-25,4,,1,1,,,,2,,1,,5,319,False,True,False,False,False,0,18,3300,3,"[{'date': '2022-04-04', 'price': 3300}]",2022-04-06 10:40:12.013000
79,28015,Flat,Flat,id-19,3,2022-02-25,2,,,1,,,,1,9,,1,3,150,False,True,False,False,False,0,11,1950,3,"[{'date': '2022-04-04', 'price': 1950}]",2022-04-08 08:37:23.169000
